COUNTRY,COVID_VACCINE_ADM_TOT_A1D,COVID_VACCINE_ADM_TOT_BOOST,COVID_VACCINE_ADM_TOT_CPS,COVID_VACCINE_ADM_TOT_DOSES,COVID_VACCINE_ADM_TOT_DOSES_PER100,COVID_VACCINE_COV_TOT_A1D,COVID_VACCINE_COV_TOT_BOOST,COVID_VACCINE_COV_TOT_CPS,COVID_VACCINE_DATE_INTRO_FIRST,COVID_VACCINE_DATE_REPORT_TOT_LAST,DATE
LSO,1014073.000000000,177816.000000000,938088.000000000,1339097.000000000,63.000000000,47.000000000,8.000000000,44.000000000,2021-03-10,2023-12-31,2023-07-30
LSO,1014073.000000000,177816.000000000,938088.000000000,1339097.000000000,63.000000000,47.000000000,8.000000000,44.000000000,2021-03-10,2023-12-31,2023-08-27
LSO,1014073.000000000,177816.000000000,938088.000000000,1339097.000000000,63.000000000,47.000000000,8.000000000,44.000000000,2021-03-10,2023-12-31,2023-09-24
LSO,1014073.000000000,177816.000000000,938088.000000000,1339097.000000000,63.000000000,47.000000000,8.000000000,44.000000000,2021-03-10,2023-12-31,2023-10-29
LSO,1014073.000000000,177816.000000000,938088.000000000,1339097.000000000,63.000000000,47.000000000,8.000000000,44.000000000,2021-03-10,2023-12-31,2023-11-26
CHN,1235222227.000000000,38130173.000000000,1084957270.000000000,2517444956.000000000,171.000000000,84.000000000,3.000000000,74.000000000,2020-07-22,2023-04-20,2021-11-28
CHN,1256778098.000000000,120975714.000000000,1177959954.000000000,2837069481.000000000,193.000000000,85.000000000,8.000000000,80.000000000,2020-07-22,2023-04-20,2021-12-26
CHN,1275813959.000000000,331957333.000000000,1235247996.000000000,3011845288.000000000,205.000000000,87.000000000,23.000000000,84.000000000,2020-07-22,2023-04-20,2022-01-30
CHN,1276591061.000000000,540819904.000000000,1235647634.000000000,3143564235.000000000,214.000000000,87.000000000,37.000000000,84.000000000,2020-07-22,2023-04-20,2022-02-27
CHN,1282279776.000000000,655655945.000000000,1245925658.000000000,3277002986.000000000,223.000000000,87.000000000,45.000000000,85.000000000,2020-07-22,2023-04-20,2022-03-27
CHN,1287209060.000000000,731988623.000000000,1256645329.000000000,3361837189.000000000,228.000000000,87.000000000,50.000000000,85.000000000,2020-07-22,2023-04-20,2022-04-24
CHN,1297284434.000000000,758303429.000000000,1266871692.000000000,3397307103.000000000,231.000000000,88.000000000,52.000000000,86.000000000,2020-07-22,2023-04-20,2022-05-29
CHN,1297332405.000000000,771999242.000000000,1267001575.000000000,3421405831.000000000,233.000000000,88.000000000,52.000000000,86.000000000,2020-07-22,2023-04-20,2022-06-26
CHN,1307368215.000000000,775594382.000000000,1267093130.000000000,3442586616.000000000,234.000000000,89.000000000,53.000000000,86.000000000,2020-07-22,2023-04-20,2022-07-31
CHN,1307420543.000000000,775972893.000000000,1277171140.000000000,3452957751.000000000,235.000000000,89.000000000,53.000000000,87.000000000,2020-07-22,2023-04-20,2022-08-28
CHN,1307471387.000000000,776403946.000000000,1277272723.000000000,3457666486.000000000,235.000000000,89.000000000,53.000000000,87.000000000,2020-07-22,2023-04-20,2022-09-25
CHN,1307495176.000000000,800097368.000000000,1277322735.000000000,3458341453.000000000,235.000000000,89.000000000,54.000000000,87.000000000,2020-07-22,2023-04-20,2022-10-30
